status	path	expected_md5	actual_md5	expected_size	actual_size
CHANGED	assets/base.css	42272d62c7cc3ed8cfa316cc8bb570b9	9dc349af02d845286dca07e41eea543e	45323	43993
MISSING	assets/fabrictrad-brand.css	d54df09044ce839d619e75315d973275	-	2653	-
MISSING	assets/ft-buyer-commerce-parity.css	f56de1d5144fcbee7b443c2081fafa93	-	9069	-
MISSING	assets/ft-cloudflare-commerce.css	bb45a4abf232f5fc10b6e908a903fd9f	-	17442	-
MISSING	assets/ft-cloudflare-human-ui.css	53ed70d2e8d88c5986bcdbe2eec23d60	-	17325	-
MISSING	assets/ft-cloudflare-light-commerce.css	ba8b60ea90efdb04eb288dd557beb3c5	-	13174	-
MISSING	assets/ft-cloudflare-ui-fixes.css	6dba36c96ef37d4e3fa47b7221b5f79c	-	3308	-
MISSING	assets/ft-cloudflare-ux-final.css	51ff619a6f777be760e5f8a5309f6221	-	8747	-
MISSING	assets/ft-seller-parity.css	21b1328eeee50329091803552aff3980	-	13026	-
CHANGED	blocks/_accordion-row.liquid	4a8f09cbd0dc4bdd3be155c863dd91d6	f41e113c1bc5b39f62ffee63512f8334	7883	7882
CHANGED	blocks/_announcement.liquid	8b60b517f7a7a045a07adac365d188c8	91336d568af0c532100b1e6f9e94563f	5910	5908
CHANGED	blocks/_blog-post-card.liquid	dc694927d0f123f555bc778d25033865	aff7862e1bbf01f0f3a93c17887b445a	3270	3268
CHANGED	blocks/_blog-post-content.liquid	d9ea1595c9be59ef41c9828afc85ed87	786a19f0381d4733cf875345c2a5fd04	845	843
CHANGED	blocks/_blog-post-description.liquid	89dc3b465391f3ee3a5b6b79bb1f15c2	41c5b56412c51b585539e89bf127f38e	8477	8475
CHANGED	blocks/_blog-post-featured-image.liquid	f68212f2b1a9a110d56a54083f773103	46eb82e6d59b1a4c771210d4686a0c4e	7494	7492
CHANGED	blocks/_blog-post-image.liquid	f0947158b8511bb823aaf86a009c9544	ce8f3ddf5bb4370d2da8b3805809ee57	3346	3344
CHANGED	blocks/_blog-post-info-text.liquid	6a10cb1bdaeff7c8b7f08241b2c867fd	62f4493d339c3b2cf4ce78569044ea4e	4935	4934
CHANGED	blocks/_blog-post-title.liquid	50ea04b4d43f9adf990cf9d5fa31902f	ebcfe6456c45297ce10d2b1935f9a891	8717	8715
CHANGED	blocks/_card.liquid	cf80ee540299aec5b66c7430aa25344f	cbd14789ebe0cd8eaa3f5aa18d12414f	13936	13934
CHANGED	blocks/_carousel-content.liquid	5a86d1f196ee545c3d6a2dea90dc2675	d804d4170925d78079ccc35a4dd4ce8b	6180	6178
CHANGED	blocks/_cart-products.liquid	b2391450c7acd9076a9dc1db6244c3f7	79c7ed4ce918919abec2ff6bc6a33fba	3730	3728
CHANGED	blocks/_cart-summary.liquid	8c116b34e08ccf942ba4a6f70ef52cd3	bdaa880ebbe0fcb3b7035e2d97be997c	6525	6523
CHANGED	blocks/_cart-title.liquid	37863233c3ae914951eaa4793a1b29e2	20e2bb6aa56c86dbbfbca4d56d79c435	4430	4428
CHANGED	blocks/_collection-card-image.liquid	7191a02692c1f6ab6680a65c795ca1ad	e12d96fd62c612aa68d6d1c594b54343	4003	4001
CHANGED	blocks/_collection-card.liquid	9799156808f92811d96659c6dc977d2c	bde62dce04f1ada13ea188d7c05da91d	3968	3966
CHANGED	blocks/_collection-image.liquid	c387423c09bd5a316d79db972e40b143	519324fde7e29fcd9840859b0c61cf7f	4031	4029
CHANGED	blocks/_collection-info.liquid	e1e34784756e9bbda3115a1a9ac4452a	d62cdf3fb2a49d08f83c9bf3e191b2af	3983	3981
